DATE,DGS10
2009-05-15,3.14
2009-05-18,3.22
2009-05-19,3.25
2009-05-20,3.19
2009-05-21,3.35
2009-05-22,3.45
2009-05-25,.
2009-05-26,3.50
2009-05-27,3.71
2009-05-28,3.67
2009-05-29,3.47
2009-06-01,3.71
2009-06-02,3.65
2009-06-03,3.56
2009-06-04,3.72
2009-06-05,3.84
2009-06-08,3.91
2009-06-09,3.86
2009-06-10,3.98
2009-06-11,3.88
2009-06-12,3.81
2009-06-15,3.76
2009-06-16,3.67
2009-06-17,3.68
2009-06-18,3.86
2009-06-19,3.79
2009-06-22,3.72
2009-06-23,3.65
2009-06-24,3.72
2009-06-25,3.55
2009-06-26,3.52
2009-06-29,3.51
2009-06-30,3.53
2009-07-01,3.55
2009-07-02,3.51
2009-07-03,.
2009-07-06,3.52
2009-07-07,3.47
2009-07-08,3.33
2009-07-09,3.44
2009-07-10,3.32
2009-07-13,3.38
2009-07-14,3.50
2009-07-15,3.63
2009-07-16,3.59
2009-07-17,3.67
2009-07-20,3.61
2009-07-21,3.50
2009-07-22,3.58
2009-07-23,3.72
2009-07-24,3.70
2009-07-27,3.75
2009-07-28,3.72
2009-07-29,3.69
2009-07-30,3.67
2009-07-31,3.52
2009-08-03,3.66
2009-08-04,3.70
2009-08-05,3.80
2009-08-06,3.79
2009-08-07,3.89
2009-08-10,3.80
2009-08-11,3.71
2009-08-12,3.72
2009-08-13,3.59
2009-08-14,3.55
2009-08-17,3.48
2009-08-18,3.51
2009-08-19,3.45
2009-08-20,3.42
2009-08-21,3.56
2009-08-24,3.48
2009-08-25,3.45
2009-08-26,3.44
2009-08-27,3.47
2009-08-28,3.46
2009-08-31,3.40
2009-09-01,3.38
2009-09-02,3.29
2009-09-03,3.33
2009-09-04,3.45
2009-09-07,.
2009-09-08,3.47
2009-09-09,3.48
2009-09-10,3.36
2009-09-11,3.34
2009-09-14,3.42
2009-09-15,3.47
2009-09-16,3.48
2009-09-17,3.42
2009-09-18,3.49
2009-09-21,3.49
2009-09-22,3.46
2009-09-23,3.44
2009-09-24,3.40
2009-09-25,3.34
2009-09-28,3.31
2009-09-29,3.31
2009-09-30,3.31
